"Year","Point.Forecast","Lo.70","Hi.70","Lo.75","Hi.75","Lo.80","Hi.80","Lo.85","Hi.85","Lo.90","Hi.90","Lo.95","Hi.95"
"May 2019",68.1966617838791,15.2371833439954,210.456090404148,12.0048113015374,236.455483577674,8.69196296331555,270.11711073913,5.21562937083257,316.653365791759,1.41351491246367,388.618333152526,0,530.468502976908
"Jun 2019",0.00379288129655071,0,27.2768210487981,0,32.2612511792768,0,38.7146336695782,0,47.6362538895512,0,61.4328971134078,0,88.6274649160938
"Jul 2019",5.61803777261637,0,42.357771501889,0,49.0723407334847,0,57.7657484801663,0,69.7841407651155,0,88.3697189887418,0,125.003758077363
"Aug 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Sep 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Oct 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Nov 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Dec 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
