"Year","Point.Forecast","Lo.70","Hi.70","Lo.75","Hi.75","Lo.80","Hi.80","Lo.85","Hi.85","Lo.90","Hi.90","Lo.95","Hi.95"
"May 2019",1415.28442491716,242.928851691481,8184.48863514787,199.884530507702,9924.56232184422,159.571439606171,12391.6734796171,121.528419779643,16189.041225911,85.0918576513179,22913.6469468747,48.8400350586614,39050.7805566072
"Jun 2019",2.60852598074281,0,32.0974324640039,0,40.1165926682931,0,51.6720401689345,0,69.8023563010264,0,102.695856558693,0,184.468788244422
"Jul 2019",0.329655490239578,0,17.0172705671303,0,21.5552706047058,0,28.0944367837359,0,38.3542860937274,0,56.9685426495996,0,103.243409045711
"Aug 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Sep 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Oct 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Nov 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Dec 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
