"Year","Point.Forecast","Lo.70","Hi.70","Lo.75","Hi.75","Lo.80","Hi.80","Lo.85","Hi.85","Lo.90","Hi.90","Lo.95","Hi.95"
"May 2019",203.837239269205,74.1556672451068,539.544118075629,66.0530055327418,599.827017340174,57.7123272967904,677.534411832587,48.9149793094252,784.407772750422,39.231114531963,948.604486655421,27.5028583315403,1269.2117191164
"Jun 2019",2.02641333433415,0,17.1161321521355,0,19.82579363616,0,23.318670330029,0,28.1225306831362,0,35.5030236073282,0,49.9140270576903
"Jul 2019",7.15678236011515,0,30.3971260966726,0,34.570395662448,0,39.9499296335624,0,47.3485675549612,0,58.7155913262129,0,80.9106154892894
"Aug 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Sep 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Oct 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Nov 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Dec 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
