"Year","Point.Forecast","Lo.70","Hi.70","Lo.75","Hi.75","Lo.80","Hi.80","Lo.85","Hi.85","Lo.90","Hi.90","Lo.95","Hi.95"
"May 2019",1188.2896810846,383.629138937692,3652.53473051758,338.469933964052,4131.51044644981,292.89629181572,4761.36107767256,245.936420355001,5648.25697632756,195.733144578359,7051.91345940278,137.398630900258,9912.98778333702
"Jun 2019",0,0,13.3081300169803,0,15.903122174981,0,19.3155236691855,0,24.1205436846436,0,31.7252665232905,0,47.2259802068983
"Jul 2019",0,0,12.8834731360808,0,15.4228770127003,0,18.7621801995128,0,23.4642701140694,0,30.9060893879877,0,46.0747565830552
"Aug 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Sep 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Oct 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Nov 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Dec 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
