"Year","Point.Forecast","Lo.70","Hi.70","Lo.75","Hi.75","Lo.80","Hi.80","Lo.85","Hi.85","Lo.90","Hi.90","Lo.95","Hi.95"
"May 2019","716618.585824601","615089.015756953","818148.155892248","603929.744263635","829307.427385566","591077.107917551","842160.063731651","575601.311752975","857635.859896226","555487.843355797","877749.328293404","524619.463917098","908617.707732103"
"Jun 2019","573387.288666425","470955.826728386","675818.750604463","459697.426909865","687077.150422984","446730.620000211","700043.957332638","431117.351621981","715657.225710869","410825.214354042","735949.362978808","379682.62967199","767091.94766086"
"Jul 2019","705461.704063131","599723.998513498","811199.409612765","588102.204365027","822821.203761236","574716.859813747","836206.548312516","558599.632321247","852323.775805016","537652.513195797","873270.894930466","505504.720058204","905418.688068059"
"Aug 2019","425371.411120038","316427.754697589","534315.067542488","304453.589548629","546289.232691448","290662.403421498","560080.418818578","274056.504085039","576686.318155038","252474.271548586","598268.55069149","219351.76229688","631391.059943197"
"Sep 2019","604664.686057289","492606.763216686","716722.608897893","480290.304246925","729039.067867654","466104.882886347","743224.489228231","449024.286845692","760305.085268887","426825.104004612","782504.268109966","392755.753774413","816573.618340166"
"Oct 2019","487408.168671345","372320.22076672","602496.11657597","359670.727073199","615145.610269491","345101.734598891","629714.602743798","327559.282468103","647257.054874587","304759.837916792","670056.499425898","269769.25889263","705047.07845006"
"Nov 2019","492851.022550733","374810.804574351","610891.240527116","361836.822328082","623865.222773385","346894.101750696","638807.94335077","328901.645450454","656800.399651013","305517.342805598","680184.702295869","269629.175101411","716072.870000056"
"Dec 2019","569109.907682169","448268.171564593","689951.643799746","434986.270142558","703233.54522178","419688.905160969","718530.91020337","401269.423279159","736950.39208518","377330.127182055","760889.688182284","340590.204418439","797629.6109459"
