"Year","Point.Forecast","Lo.70","Hi.70","Lo.75","Hi.75","Lo.80","Hi.80","Lo.85","Hi.85","Lo.90","Hi.90","Lo.95","Hi.95"
"May 2019","18224.7258757647","6114.16113220128","30335.2906193281","4783.07030003493","31666.3814514944","3249.99294640268","33199.4588051267","1404.02205058973","35045.4297009396","0","37444.5875135784","0","41126.6035752259"
"Jun 2019","19261.0545915788","7163.7130496018","31358.3961335559","5834.07559989747","32688.0335832602","4302.67217240523","34219.4370107524","2458.71684281853","36063.3923403392","62.1786063982436","38459.9305767594","0","42137.9263435935"
"Jul 2019","11935.7633237632","0","24033.1048655802","0","25362.7423152669","0","26894.1457427389","0","28738.1010723012","0","31134.6393086898","0","34812.6350754752"
"Aug 2019","24164.9691546274","12067.6276127937","36262.3106964611","10737.9901631051","37591.9481461497","9206.58673563101","39123.3515736237","7362.63140606615","40967.3069031886","4966.09316967426","43363.8451395805","1288.09740288382","47041.8409063709"
"Sep 2019","11584.0983315763","0","23681.439873415","0","25011.0773231042","0","26542.4807505789","0","28386.4360801445","0","30782.9743165374","0","34460.9700833294"
"Oct 2019","12597.8549766468","500.513434820528","24695.1965184731","0","26024.8339681608","0","27556.237395634","0","29400.1927251977","0","31796.7309615881","0","35474.7267283763"
"Nov 2019","21988.7084142181","9891.36689775252","34086.0499306836","8561.72945085219","35415.687377584","7030.32602658946","36947.0908018467","5186.37070089138","38791.0461275448","2789.83246952503","41187.5843589111","0","44865.5801179888"
"Dec 2019","11030.257340987","0","23117.2567640472","0","24445.7574955251","0","25975.8517133615","0","27818.2306300455","0","30212.7200457935","0","33887.5714631468"
