"Year","Point.Forecast","Lo.70","Hi.70","Lo.75","Hi.75","Lo.80","Hi.80","Lo.85","Hi.85","Lo.90","Hi.90","Lo.95","Hi.95"
"May 2019","181192.175768616","141884.668297947","220499.683239285","137564.319582803","224820.031954428","132588.379087292","229795.97244994","126596.873627865","235787.477909367","118809.87808798","243574.473449251","106859.083313752","255525.26822348"
"Jun 2019","140645.141377598","89097.3784547521","192192.904300445","83431.6844018175","197858.598353379","76906.2489955603","204384.033759636","69049.0043406061","212241.278414591","58837.1586703928","222453.124084804","43164.9175286413","238125.365226555"
"Jul 2019","142743.071849112","91016.4709931288","194469.672705096","85331.1205873913","200155.023110833","78783.0460729613","206703.097625263","70898.5417792843","214587.60191894","60651.2675032573","224834.876194967","44924.6536583176","240561.490039907"
"Aug 2019","41575.1453899583","0","93479.9685828387","0","99184.9076802478","0","105755.543374474","0","113667.213473698","0","123949.794403131","0","139730.593789447"
"Sep 2019","136620.450932979","84538.0152703146","188702.886595643","78813.5545126681","194427.347353289","72220.4348417728","201020.467024185","64281.691896905","208959.209969053","53963.9251315074","219276.97673445","38129.125623782","235111.776242175"
"Oct 2019","127529.663122649","75270.218639841","179789.107605457","69526.3025700191","185533.023675278","62910.7753385103","192148.550906787","54945.0515601962","200114.274685101","44592.2185445662","210467.107700731","28703.6024450779","226355.72380022"
"Nov 2019","158273.853235607","105837.998126761","210709.708344452","100074.692493199","216473.013978014","93436.8334265164","223110.873044697","85444.2199953847","231103.486475828","75056.4392344882","241491.267236725","59114.1884142193","257433.518056994"
"Dec 2019","90112.9566068534","39270.6073322136","140955.305881493","33682.4463803272","146543.46683338","27246.3093438741","152979.603869833","19496.588416481","160729.324797226","9424.48838993281","170801.424823774","0","186259.196662252"
