Date,Production,Plantation,Lag3_Plantation,Lag3_Milho_Price,Interest_Rate
3/1/2019,2169.3596695876595,0.116584261693694,21.030434246240475,167.44,5.910311887362631
4/1/2019,43.383367642494704,0.10734263700564099,0.127982360833206,166.74,6.411489078073469
5/1/2019,0.0,0.0975532173143179,0.11245312229785198,169.52,5.983559877051059
6/1/2019,0.0,0.0587452107970687,0.116584261693694,170.79959271010298,6.74214324047129
7/1/2019,0.0,0.025983654827047998,0.10734263700564099,169.77749508851102,5.840935944235441
8/1/2019,0.0,0.0817422089951418,0.0975532173143179,169.929585606075,5.96477314473763
9/1/2019,0.0,53.81590579767529,0.0587452107970687,168.576985187654,5.55932386833838
10/1/2019,0.0,1578.27683316553,0.025983654827047998,171.254936037046,5.4527880737359
11/1/2019,0.0,1091.86887021886,0.0817422089951418,163.019992693414,5.78982606652536
12/1/2019,0.0,37.954645729762795,53.81590579767529,157.524338264814,5.56342277491543
