Date,Production,Plantation,Lag3_Plantation,Lag3_Milho_Price,Exchange_Rate
1/1/2012,0.0,0.0,,274.79,1.785035
2/1/2012,394.48989214425427,0.0,,274.39,1.7168
3/1/2012,1835.2127999999996,0.0,,258.65,1.7953
4/1/2012,786.1097692852486,0.0,0.0,272.84,1.8522476190476191
5/1/2012,42.875538570497156,0.0,0.0,279.46,1.9810227272727277
6/1/2012,0.0,0.0,0.0,280.69,2.048195238095238
7/1/2012,0.0,0.0,0.0,274.0,2.029552380952381
8/1/2012,0.0,0.0,0.0,269.28,2.0279434782608696
9/1/2012,0.0,0.0,0.0,267.31,2.026857894736842
10/1/2012,0.0,289.21031963517555,0.0,333.05,2.0297318181818182
11/1/2012,0.0,598.8393607296491,0.0,331.99,2.06622
12/1/2012,0.0,233.15031963517538,0.0,320.85,2.07746
1/1/2013,0.0,0.0,289.21031963517555,321.24,2.028109523809524
2/1/2013,562.39165709078,0.0,598.8393607296491,321.64,1.9729315789473685
3/1/2013,1560.2758360099683,0.0,233.15031963517538,308.65,1.9842142857142857
4/1/2013,1252.144506899252,0.0,0.0,303.13,2.001109090909091
5/1/2013,0.0,0.0,0.0,302.74,2.0364727272727277
6/1/2013,0.0,0.0,0.0,309.04,2.17336
7/1/2013,0.0,0.0,0.0,279.91,2.2518318181818184
8/1/2013,0.0,0.0,0.0,295.54,2.340790909090909
9/1/2013,0.0,0.0,0.0,298.41,2.264105
10/1/2013,0.0,221.18140382312495,0.0,279.51,2.1882227272727275
11/1/2013,0.0,485.86354330953134,0.0,238.74,2.295936842105263
12/1/2013,0.0,531.1550528673438,0.0,207.41,2.347095238095238
1/1/2014,0.0,0.0,221.18140382312495,201.73,2.3857809523809523
2/1/2014,744.2125209926257,0.0,485.86354330953134,199.13,2.3792
3/1/2014,1707.5544866534078,0.0,531.1550528673438,197.39,2.3250523809523806
4/1/2014,875.2763923539665,0.0,0.0,198.06,2.2324727272727274
5/1/2014,0.0,0.0,0.0,209.32,2.219509523809524
6/1/2014,0.0,0.0,0.0,222.33,2.236019047619048
7/1/2014,0.0,0.0,0.0,222.36,2.2242136363636362
8/1/2014,0.0,0.0,0.0,217.3,2.268519047619048
9/1/2014,0.0,0.0,0.0,202.39,2.3378809523809525
10/1/2014,0.0,291.6222951240355,0.0,182.73,2.449531818181818
11/1/2014,0.0,721.5069236652826,0.0,176.42,2.5527277777777777
12/1/2014,0.0,306.270781210682,0.0,163.06,2.6418857142857144
1/1/2015,12.82900429473978,0.0,291.6222951240355,163.12,2.63462
2/1/2015,782.6248658947957,0.0,721.5069236652826,178.74,2.8169894736842105
3/1/2015,1258.9519478044708,0.0,306.270781210682,178.73,3.1413727272727274
4/1/2015,1148.7387712058962,0.0,0.0,174.71,3.0420909090909087
5/1/2015,303.8206108000977,0.0,0.0,173.7,3.056205
6/1/2015,0.0,0.0,0.0,174.23,3.1116909090909086
7/1/2015,0.0,0.0,0.0,172.05,3.228809090909091
8/1/2015,0.0,0.0,0.0,166.29,3.515433333333333
9/1/2015,0.0,0.0,0.0,166.72,3.903219047619048
10/1/2015,0.0,78.81662344267593,0.0,179.6,3.875238095238095
11/1/2015,0.0,1128.7211576304253,0.0,162.59,3.785768421052632
12/1/2015,0.0,261.76221892689864,0.0,165.62,3.880836363636364
1/1/2016,0.0,0.0,78.81662344267593,171.39,4.05558947368421
2/1/2016,1420.2253799999996,0.0,1128.7211576304253,166.16,3.964385
3/1/2016,3008.6247989809954,0.0,261.76221892689864,163.95,3.6980217391304344
4/1/2016,274.8010200190047,0.0,0.0,161.03,3.5634476190476194
5/1/2016,30.43340099999932,0.0,0.0,159.68,3.5403047619047614
6/1/2016,0.0,0.0,0.0,159.14,3.4234454545454542
7/1/2016,0.0,0.0,0.0,164.41,3.27814
8/1/2016,0.0,0.0,0.0,168.96,3.2085521739130436
9/1/2016,0.0,0.0,0.0,179.87,3.2531809523809523
10/1/2016,0.0,112.04783633571397,0.0,161.76,3.185395
11/1/2016,0.0,891.268974609627,0.0,150.15,3.33689
12/1/2016,0.0,408.32473866296857,0.0,148.43,3.353966666666667
1/1/2017,183.12049709934706,44.45845039169035,112.04783633571397,152.26,3.190084210526316
2/1/2017,1761.186739917444,0.0,891.268974609627,151.8,3.1057263157894734
3/1/2017,2505.0804690167915,0.0,408.32473866296857,152.45,3.1275304347826087
4/1/2017,598.8036878259581,0.0,44.45845039169035,159.99,3.138995
5/1/2017,19.0366061404593,0.0,0.0,162.86,3.2042772727272726
6/1/2017,0.0,0.0,0.0,158.96,3.2953954545454542
7/1/2017,0.0,0.0,0.0,156.44,3.19941
8/1/2017,0.0,0.0,0.0,158.59,3.147791304347826
9/1/2017,0.0,6.48093723412443,0.0,157.93,3.132515
10/1/2017,0.0,334.97436554379095,0.0,157.51,3.192266666666667
11/1/2017,0.0,1050.1134206345273,0.0,148.5,3.26293
12/1/2017,0.0,116.93127658755725,6.48093723412443,147.29,3.29496
1/1/2018,95.01649462294048,0.0,334.97436554379095,148.62,3.211523809523809
2/1/2018,251.61571051101365,0.0,1050.1134206345273,148.7,3.2506526315789475
3/1/2018,4370.860896253224,0.0,116.93127658755725,148.98,3.2789681818181817
4/1/2018,829.7269241262184,0.0,0.0,155.84,3.4088857142857143
5/1/2018,19.144974486604042,0.0,0.0,163.36,3.6316
6/1/2018,0.0,0.0,0.0,172.0,3.771047619047619
7/1/2018,0.0,0.0,0.0,175.6,3.822095238095238
8/1/2018,0.0,0.0,0.0,179.09,3.9333217391304345
