Date,Production,Plantation,Lag4_Plantation,Exchange_Rate,Lag3_Milho_Price
1/1/2012,0.0,0.0,,1.785035,274.79
2/1/2012,59.200746358312955,0.0,,1.7168,274.39
3/1/2012,3228.1658730326344,0.0,,1.7953,258.65
4/1/2012,1834.8542879840816,0.0,,1.8522476190476191,272.84
5/1/2012,1404.4250926249715,0.0,0.0,1.9810227272727277,279.46
6/1/2012,0.0,0.0,0.0,2.048195238095238,280.69
7/1/2012,0.0,0.0,0.0,2.029552380952381,274.0
8/1/2012,0.0,0.0,0.0,2.0279434782608696,269.28
9/1/2012,0.0,0.0,0.0,2.026857894736842,267.31
10/1/2012,0.0,1374.4587774628055,0.0,2.0297318181818182,333.05
11/1/2012,0.0,2227.699827987636,0.0,2.06622,331.99
12/1/2012,0.0,1016.4413945495585,0.0,2.07746,320.85
1/1/2013,0.0,0.0,0.0,2.028109523809524,321.24
2/1/2013,423.7501506045651,0.0,1374.4587774628055,1.9729315789473685,321.64
3/1/2013,5019.828792096674,0.0,2227.699827987636,1.9842142857142857,308.65
4/1/2013,5420.933977945531,0.0,1016.4413945495585,2.001109090909091,303.13
5/1/2013,1670.36747935323,0.0,0.0,2.0364727272727277,302.74
6/1/2013,0.0,0.0,0.0,2.17336,309.04
7/1/2013,0.0,0.0,0.0,2.2518318181818184,279.91
8/1/2013,0.0,0.0,0.0,2.340790909090909,295.54
9/1/2013,0.0,0.0,0.0,2.264105,298.41
10/1/2013,0.0,311.4297448524249,0.0,2.1882227272727275,279.51
11/1/2013,0.0,3232.3779588193997,0.0,2.295936842105263,238.74
12/1/2013,0.0,1228.4612463712806,0.0,2.347095238095238,207.41
1/1/2014,0.0,167.33104995689519,0.0,2.3857809523809523,201.73
2/1/2014,373.38333789064313,0.0,311.4297448524249,2.3792,199.13
3/1/2014,4217.082176399442,0.0,3232.3779588193997,2.3250523809523806,197.39
4/1/2014,6510.111953690484,0.0,1228.4612463712806,2.2324727272727274,198.06
5/1/2014,1767.0805320194322,0.0,167.33104995689519,2.219509523809524,209.32
6/1/2014,0.0,0.0,0.0,2.236019047619048,222.33
7/1/2014,0.0,0.0,0.0,2.2242136363636362,222.36
8/1/2014,0.0,0.0,0.0,2.268519047619048,217.3
9/1/2014,0.0,0.0,0.0,2.3378809523809525,202.39
10/1/2014,0.0,937.463696297428,0.0,2.449531818181818,182.73
11/1/2014,0.0,3102.7852005820832,0.0,2.5527277777777777,176.42
12/1/2014,0.0,1208.9511031204884,0.0,2.6418857142857144,163.06
1/1/2015,0.0,0.0,0.0,2.63462,163.12
2/1/2015,534.8773332093548,0.0,937.463696297428,2.8169894736842105,178.74
3/1/2015,5012.711265082696,0.0,3102.7852005820832,3.1413727272727274,178.73
4/1/2015,8434.058813709657,0.0,1208.9511031204884,3.0420909090909087,174.71
5/1/2015,1476.1967479982923,0.0,0.0,3.056205,173.7
6/1/2015,0.0,0.0,0.0,3.1116909090909086,174.23
7/1/2015,0.0,0.0,0.0,3.228809090909091,172.05
8/1/2015,0.0,0.0,0.0,3.515433333333333,166.29
9/1/2015,0.0,0.0,0.0,3.903219047619048,166.72
10/1/2015,0.0,966.0705856747124,0.0,3.875238095238095,179.6
11/1/2015,0.0,4015.674138463666,0.0,3.785768421052632,162.59
12/1/2015,0.0,473.25527586162116,0.0,3.880836363636364,165.62
1/1/2016,8.438557396887651,0.0,0.0,4.05558947368421,171.39
2/1/2016,485.7555661212675,0.0,966.0705856747124,3.964385,166.16
3/1/2016,3395.0796561342167,0.0,4015.674138463666,3.6980217391304344,163.95
4/1/2016,9449.175409333435,0.0,473.25527586162116,3.5634476190476194,161.03
5/1/2016,2819.302669030347,0.0,0.0,3.5403047619047614,159.68
6/1/2016,41.57032134193105,0.0,0.0,3.4234454545454542,159.14
7/1/2016,2.027820641913422,0.0,0.0,3.27814,164.41
8/1/2016,0.0,0.0,0.0,3.2085521739130436,168.96
9/1/2016,0.0,0.0,0.0,3.2531809523809523,179.87
10/1/2016,0.0,652.3759537682906,0.0,3.185395,161.76
11/1/2016,0.0,3577.7341544508336,0.0,3.33689,150.15
12/1/2016,0.0,1212.8191064277316,0.0,3.353966666666667,148.43
1/1/2017,9.423413949463605,126.67078535314431,0.0,3.190084210526316,152.26
2/1/2017,571.3148991203465,0.0,652.3759537682906,3.1057263157894734,151.8
3/1/2017,3130.04554576621,0.0,3577.7341544508336,3.1275304347826087,152.45
4/1/2017,11806.938085444643,0.0,1212.8191064277316,3.138995,159.99
5/1/2017,3104.7261881916475,0.0,126.67078535314431,3.2042772727272726,162.86
6/1/2017,91.40786752769054,0.0,0.0,3.2953954545454542,158.96
7/1/2017,0.0,0.0,0.0,3.19941,156.44
8/1/2017,0.0,0.0,0.0,3.147791304347826,158.59
9/1/2017,0.0,0.0,0.0,3.132515,157.93
10/1/2017,0.0,551.0641346016614,0.0,3.192266666666667,157.51
11/1/2017,0.0,3737.7177738363876,0.0,3.26293,148.5
12/1/2017,0.0,1339.8677123997531,0.0,3.29496,147.29
1/1/2018,54.98248605012806,63.45037916219826,0.0,3.211523809523809,148.62
2/1/2018,475.25999330544334,0.0,551.0641346016614,3.2506526315789475,148.7
3/1/2018,4441.934019445817,0.0,3737.7177738363876,3.2789681818181817,148.98
4/1/2018,11768.699619960818,0.0,1339.8677123997531,3.4088857142857143,155.84
5/1/2018,1670.8906973134071,0.0,63.45037916219826,3.6316,163.36
6/1/2018,167.2475839243889,0.0,0.0,3.771047619047619,172.0
7/1/2018,0.0,0.0,0.0,3.822095238095238,175.6
