Date,Production,Plantation,Lag3_Plantation,Exchange_Rate
1/1/2012,0.0,0.0,,1.785035
2/1/2012,194.78203278024415,0.0,,1.7168
3/1/2012,1314.7814667713653,0.0,,1.7953
4/1/2012,87.99330044839053,0.0,0.0,1.8522476190476191
5/1/2012,0.0,0.0,0.0,1.9810227272727277
6/1/2012,0.0,0.0,0.0,2.048195238095238
7/1/2012,0.0,0.0,0.0,2.029552380952381
8/1/2012,0.0,0.0,0.0,2.0279434782608696
9/1/2012,0.0,0.0,0.0,2.026857894736842
10/1/2012,0.0,240.83380692253604,0.0,2.0297318181818182
11/1/2012,0.0,382.19999999999993,0.0,2.06622
12/1/2012,0.0,13.966193077464027,0.0,2.07746
1/1/2013,0.0,0.0,240.83380692253604,2.028109523809524
2/1/2013,489.9074434913562,0.0,382.19999999999993,1.9729315789473685
3/1/2013,1401.0896609481376,0.0,13.966193077464027,1.9842142857142857
4/1/2013,160.14289556050608,0.0,0.0,2.001109090909091
5/1/2013,0.0,0.0,0.0,2.0364727272727277
6/1/2013,0.0,0.0,0.0,2.17336
7/1/2013,0.0,0.0,0.0,2.2518318181818184
8/1/2013,0.0,0.0,0.0,2.340790909090909
9/1/2013,0.0,37.585,0.0,2.264105
10/1/2013,0.0,335.18296156099706,0.0,2.1882227272727275
11/1/2013,0.0,378.932038439003,0.0,2.295936842105263
12/1/2013,0.0,0.0,37.585,2.347095238095238
1/1/2014,0.0,0.0,335.18296156099706,2.3857809523809523
2/1/2014,538.8846064947094,0.0,378.932038439003,2.3792
3/1/2014,980.6017735052909,0.0,0.0,2.3250523809523806
4/1/2014,168.83181999999988,0.0,0.0,2.2324727272727274
5/1/2014,0.0,0.0,0.0,2.219509523809524
6/1/2014,0.0,0.0,0.0,2.236019047619048
7/1/2014,0.0,0.0,0.0,2.2242136363636362
8/1/2014,0.0,0.0,0.0,2.268519047619048
9/1/2014,0.0,15.936,0.0,2.3378809523809525
10/1/2014,0.0,564.1942586904128,0.0,2.449531818181818
11/1/2014,0.0,216.66974130958715,0.0,2.5527277777777777
12/1/2014,0.0,0.0,15.936,2.6418857142857144
1/1/2015,10.774883695632573,0.0,564.1942586904128,2.63462
2/1/2015,489.10015152093547,0.0,216.66974130958715,2.8169894736842105
3/1/2015,1166.3984511810652,0.0,0.0,3.1413727272727274
4/1/2015,693.3044853412227,0.0,0.0,3.0420909090909087
5/1/2015,6.918028261144173,0.0,0.0,3.056205
6/1/2015,0.0,0.0,0.0,3.1116909090909086
7/1/2015,0.0,0.0,0.0,3.228809090909091
8/1/2015,0.0,0.0,0.0,3.515433333333333
9/1/2015,0.0,18.206878852839274,0.0,3.903219047619048
10/1/2015,0.0,220.2703182792589,0.0,3.875238095238095
11/1/2015,0.0,613.1850756464592,0.0,3.785768421052632
12/1/2015,0.0,5.937727221442742,18.206878852839274,3.880836363636364
1/1/2016,400.92800000000005,0.0,220.2703182792589,4.05558947368421
2/1/2016,1014.1119999999999,0.0,613.1850756464592,3.964385
3/1/2016,1394.825142857143,0.0,5.937727221442742,3.6980217391304344
4/1/2016,20.214857142857,0.0,0.0,3.5634476190476194
5/1/2016,0.0,0.0,0.0,3.5403047619047614
6/1/2016,0.0,0.0,0.0,3.4234454545454542
7/1/2016,0.0,0.0,0.0,3.27814
8/1/2016,0.0,0.0,0.0,3.2085521739130436
9/1/2016,0.0,30.78487635339856,0.0,3.2531809523809523
10/1/2016,0.0,518.3324569799347,0.0,3.185395
11/1/2016,0.0,232.62092982456147,0.0,3.33689
12/1/2016,0.0,95.65573684210517,30.78487635339856,3.353966666666667
1/1/2017,149.9731926283377,17.906000000000063,518.3324569799347,3.190084210526316
2/1/2017,1055.5096491484699,0.0,232.62092982456147,3.1057263157894734
3/1/2017,1125.5435909409734,0.0,95.65573684210517,3.1275304347826087
4/1/2017,744.537106328798,0.0,17.906000000000063,3.138995
5/1/2017,7.84966095342088,0.0,0.0,3.2042772727272726
6/1/2017,0.0,0.0,0.0,3.2953954545454542
7/1/2017,0.0,0.0,0.0,3.19941
8/1/2017,0.0,0.0,0.0,3.147791304347826
9/1/2017,0.0,48.08,0.0,3.132515
10/1/2017,0.0,710.8945828475313,0.0,3.192266666666667
11/1/2017,0.0,202.62541715246869,0.0,3.26293
12/1/2017,0.0,0.0,48.08,3.29496
1/1/2018,53.629983460651644,0.0,710.8945828475313,3.211523809523809
2/1/2018,407.24715760882214,0.0,202.62541715246869,3.2506526315789475
3/1/2018,2704.16057321624,0.0,0.0,3.2789681818181817
4/1/2018,296.7222857142856,0.0,0.0,3.4088857142857143
5/1/2018,0.0,0.0,0.0,3.6316
6/1/2018,0.0,0.0,0.0,3.771047619047619
7/1/2018,0.0,0.0,0.0,3.822095238095238
8/1/2018,0.0,0.0,0.0,3.9333217391304345
9/1/2018,0.0,61.63636386420443,0.0,4.108747368421053
10/1/2018,0.0,572.7440700235385,0.0,3.761113636363637
11/1/2018,0.0,336.4392900018752,0.0,3.78595
12/1/2018,0.0,50.78027611038192,61.63636386420443,3.883355555555556
1/1/2019,293.546096257955,4.56054683065974,572.7440700235385,3.735565
2/1/2019,1247.8067254753919,0.0,336.4392900018752,3.724433333333333
3/1/2019,1638.737635271078,0.15864829334492098,50.78027611038192,3.73586320775015
4/1/2019,111.50474299557527,0.0,4.56054683065974,3.6957914372487797
5/1/2019,0.0,0.0466732377795165,0.0,3.72510284512667
6/1/2019,0.0,0.0,0.15864829334492098,3.74957636594419
7/1/2019,0.0,0.08699446571062901,0.0,3.73523662312877
