Date,Production,Plantation,Lag3_Plantation,Exchange_Rate
1/1/2012,0.0,0.0,,1.785035
2/1/2012,0.0,0.0,,1.7168
3/1/2012,631.5543,0.0,,1.7953
4/1/2012,463.1398200000003,0.0,0.0,1.8522476190476191
5/1/2012,168.41447999999968,0.0,0.0,1.9810227272727277
6/1/2012,0.0,0.0,0.0,2.048195238095238
7/1/2012,0.0,0.0,0.0,2.029552380952381
8/1/2012,0.0,0.0,0.0,2.0279434782608696
9/1/2012,0.0,0.0,0.0,2.026857894736842
10/1/2012,0.0,27.320000000000004,0.0,2.0297318181818182
11/1/2012,0.0,273.20000000000005,0.0,2.06622
12/1/2012,0.0,245.87999999999994,0.0,2.07746
1/1/2013,0.0,0.0,27.320000000000004,2.028109523809524
2/1/2013,3.9293965714285712,0.0,273.20000000000005,1.9729315789473685
3/1/2013,271.1283634285714,0.0,245.87999999999994,1.9842142857142857
4/1/2013,458.4296,0.0,0.0,2.001109090909091
5/1/2013,183.3718399999999,0.0,0.0,2.0364727272727277
6/1/2013,0.0,0.0,0.0,2.17336
7/1/2013,0.0,0.0,0.0,2.2518318181818184
8/1/2013,0.0,0.0,0.0,2.340790909090909
9/1/2013,0.0,0.0,0.0,2.264105
10/1/2013,0.0,8.363999999999999,0.0,2.1882227272727275
11/1/2013,0.0,179.82599999999996,0.0,2.295936842105263
12/1/2013,0.0,376.38,0.0,2.347095238095238
1/1/2014,0.0,62.73000000000002,8.363999999999999,2.3857809523809523
2/1/2014,13.961345625000002,0.0,179.82599999999996,2.3792
3/1/2014,879.564774375,0.0,376.38,2.3250523809523806
4/1/2014,496.4033999999999,0.0,62.73000000000002,2.2324727272727274
5/1/2014,99.28068000000007,0.0,0.0,2.219509523809524
6/1/2014,0.0,0.0,0.0,2.236019047619048
7/1/2014,0.0,0.0,0.0,2.2242136363636362
8/1/2014,0.0,0.0,0.0,2.268519047619048
9/1/2014,0.0,0.0,0.0,2.3378809523809525
10/1/2014,0.0,20.211000000000002,0.0,2.449531818181818
11/1/2014,0.0,415.71252941176465,0.0,2.5527277777777777
12/1/2014,0.0,237.77647058823538,0.0,2.6418857142857144
1/1/2015,0.0,0.0,20.211000000000002,2.63462
2/1/2015,18.338113999999997,0.0,415.71252941176465,2.8169894736842105
3/1/2015,387.72012457142847,0.0,237.77647058823538,3.1413727272727274
4/1/2015,785.9191714285714,0.0,0.0,3.0420909090909087
5/1/2015,641.8339899999999,0.0,0.0,3.056205
6/1/2015,0.0,0.0,0.0,3.1116909090909086
7/1/2015,0.0,0.0,0.0,3.228809090909091
8/1/2015,0.0,0.0,0.0,3.515433333333333
9/1/2015,0.0,0.0,0.0,3.903219047619048
10/1/2015,0.0,5.65,0.0,3.875238095238095
11/1/2015,0.0,212.91578947368419,0.0,3.785768421052632
12/1/2015,0.0,346.43421052631584,0.0,3.880836363636364
1/1/2016,0.0,562.4318181818182,5.65,4.05558947368421
2/1/2016,12.9498,2.568181818181756,212.91578947368419,3.964385
3/1/2016,233.09639999999996,0.0,346.43421052631584,3.6980217391304344
4/1/2016,225.6965142857143,0.0,562.4318181818182,3.5634476190476194
5/1/2016,173.25693956043955,0.0,2.568181818181756,3.5403047619047614
6/1/2016,2.4903461538461897,0.0,0.0,3.4234454545454542
7/1/2016,0.0,0.0,0.0,3.27814
8/1/2016,0.0,0.0,0.0,3.2085521739130436
9/1/2016,0.0,0.0,0.0,3.2531809523809523
10/1/2016,0.0,10.638266666666668,0.0,3.185395
11/1/2016,0.0,137.2506807017544,0.0,3.33689
12/1/2016,0.0,344.70905263157886,0.0,3.353966666666667
1/1/2017,5.887388571428571,201.202,10.638266666666668,3.190084210526316
2/1/2017,179.56535142857143,0.0,137.2506807017544,3.1057263157894734
3/1/2017,412.11719999999997,0.0,344.70905263157886,3.1275304347826087
4/1/2017,1109.772745714286,0.0,201.202,3.138995
5/1/2017,353.24331428571395,0.0,0.0,3.2042772727272726
6/1/2017,0.0,0.0,0.0,3.2953954545454542
7/1/2017,0.0,0.0,0.0,3.19941
8/1/2017,0.0,0.0,0.0,3.147791304347826
9/1/2017,0.0,0.0,0.0,3.132515
10/1/2017,0.0,13.66346153846154,0.0,3.192266666666667
11/1/2017,0.0,402.4865384615384,0.0,3.26293
12/1/2017,0.0,272.3583333333333,0.0,3.29496
1/1/2018,0.0,21.991666666666788,13.66346153846154,3.211523809523809
2/1/2018,26.4306,0.0,402.4865384615384,3.2506526315789475
3/1/2018,607.9037999999998,0.0,272.3583333333333,3.2789681818181817
4/1/2018,1568.2156000000004,0.0,21.991666666666788,3.4088857142857143
5/1/2018,440.50999999999976,0.0,0.0,3.6316
6/1/2018,0.0,0.0,0.0,3.771047619047619
7/1/2018,0.0,0.0,0.0,3.822095238095238
8/1/2018,0.0,0.0,0.0,3.9333217391304345
9/1/2018,0.0,0.0,0.0,4.108747368421053
10/1/2018,0.0,4.317142857142857,0.0,3.761113636363637
11/1/2018,0.0,407.77376623376625,0.0,3.78595
12/1/2018,0.0,263.41497326203205,0.0,3.883355555555556
1/1/2019,6.993771428571428,51.851124778784296,4.317142857142857,3.735565
2/1/2019,98.45078241758242,0.0,407.77376623376625,3.724433333333333
3/1/2019,653.3796461538461,0.0,263.41497326203205,3.73586320775015
4/1/2019,1452.373199999999,0.0,51.851124778784296,3.6957914372487797
5/1/2019,0.0,0.0,0.0,3.72510284512667
6/1/2019,0.0,0.0,0.0,3.74957636594419
7/1/2019,0.0,0.0,0.0,3.73523662312877
8/1/2019,0.0,0.0,0.0,3.77093790800061
