Date,Production,Lag2_Plantation,Lag3_Plantation,Plantation,Lag4_Plantation,Exchange_Rate,Interest_Rate
1/1/2012,5493.632583400002,,,0.0,,1.785035,9.8589
2/1/2012,9954.486516900002,,,0.0,,1.7168,9.3174
3/1/2012,5921.5910982000005,0.0,,0.0,,1.7953,8.9862
4/1/2012,414.9395614999994,0.0,0.0,0.0,,1.8522476190476191,8.4999
5/1/2012,64.3152399999999,0.0,0.0,0.0,0.0,1.9810227272727277,7.9716
6/1/2012,0.0,0.0,0.0,0.0,0.0,2.048195238095238,7.6076
7/1/2012,0.0,0.0,0.0,0.0,0.0,2.029552380952381,7.2953
8/1/2012,0.0,0.0,0.0,0.0,0.0,2.0279434782608696,8.277000000000001
9/1/2012,0.0,0.0,0.0,92.91176656142112,0.0,2.026857894736842,7.5788
10/1/2012,0.0,0.0,0.0,5382.2783019737835,0.0,2.0297318181818182,7.2399
11/1/2012,0.0,92.91176656142112,0.0,2199.7726898247984,0.0,2.06622,7.1409
12/1/2012,0.0,5382.2783019737835,92.91176656142112,143.23724163999668,0.0,2.07746,7.0357
1/1/2013,5107.526967013186,2199.7726898247984,5382.2783019737835,0.0,92.91176656142112,2.028109523809524,7.3737
2/1/2013,9803.74723903525,143.23724163999668,2199.7726898247984,0.0,5382.2783019737835,1.9729315789473685,7.8862
3/1/2013,8248.203999599611,0.0,143.23724163999668,0.0,2199.7726898247984,1.9842142857142857,8.0275
4/1/2013,373.3037943519521,0.0,0.0,0.0,143.23724163999668,2.001109090909091,7.7476
5/1/2013,0.0,0.0,0.0,0.0,0.0,2.0364727272727277,8.0224
6/1/2013,0.0,0.0,0.0,0.0,0.0,2.17336,8.6295
7/1/2013,0.0,0.0,0.0,0.0,0.0,2.2518318181818184,9.01
8/1/2013,0.0,0.0,0.0,0.0,0.0,2.340790909090909,10.2779
9/1/2013,0.0,0.0,0.0,290.82821584594717,0.0,2.264105,10.1777
10/1/2013,0.0,0.0,0.0,4653.804094567791,0.0,2.1882227272727275,9.9838
11/1/2013,0.0,290.82821584594717,0.0,3481.89429576523,0.0,2.295936842105263,10.1783
12/1/2013,0.0,4653.804094567791,290.82821584594717,189.17339382103273,0.0,2.347095238095238,10.5595
1/1/2014,2878.567629300001,3481.89429576523,4653.804094567791,0.0,290.82821584594717,2.3857809523809523,11.9399
2/1/2014,14659.523485818752,189.17339382103273,3481.89429576523,0.0,4653.804094567791,2.3792,11.2757
3/1/2014,8686.490560481252,0.0,189.17339382103273,0.0,3481.89429576523,2.3250523809523806,11.5092
4/1/2014,217.00162439999986,0.0,0.0,0.0,189.17339382103273,2.2324727272727274,11.3251
5/1/2014,0.0,0.0,0.0,0.0,0.0,2.219509523809524,11.1667
6/1/2014,0.0,0.0,0.0,0.0,0.0,2.236019047619048,10.9004
7/1/2014,0.0,0.0,0.0,0.0,0.0,2.2242136363636362,10.9307
8/1/2014,0.0,0.0,0.0,0.0,0.0,2.268519047619048,11.3251
9/1/2014,0.0,0.0,0.0,182.40533006256018,0.0,2.3378809523809525,11.6598
10/1/2014,0.0,0.0,0.0,5674.9448350464845,0.0,2.449531818181818,11.6777
11/1/2014,0.0,182.40533006256018,0.0,3012.452242581703,0.0,2.5527277777777777,11.8799
12/1/2014,0.0,5674.9448350464845,182.40533006256018,64.69759230925229,0.0,2.6418857142857144,12.8928
1/1/2015,3413.3747439514896,3012.452242581703,5674.9448350464845,0.0,182.40533006256018,2.63462,12.6768
2/1/2015,12747.47647019479,64.69759230925229,3012.452242581703,0.0,5674.9448350464845,2.8169894736842105,13.2199
