"Date","Predicted Export"
"1/1/2015",941.259267200201
"2/1/2015",11719.3153468296
"3/1/2015",14476.429540103
"4/1/2015",7566.06310805411
"5/1/2015",23657.4425468063
"6/1/2015",45207.1435322609
"7/1/2015",13873.0070135894
"8/1/2015",21760.0812889186
"9/1/2015",9765.65404170206
"10/1/2015",9653.04060741294
"11/1/2015",7007.11473368148
"12/1/2015",4489.62011615496
"1/1/2016",6164.57972927044
"2/1/2016",8702.62048312645
"3/1/2016",12954.2237506182
"4/1/2016",41964.5111229474
"5/1/2016",11587.5388103231
"6/1/2016",28286.2479714439
"7/1/2016",14616.8316276602
"8/1/2016",19217.5160733838
"9/1/2016",2615.00325682375
"10/1/2016",5877.11825627549
"11/1/2016",6844.47353982153
"12/1/2016",6801.2865910949
"1/1/2017",11096.6833602155
"2/1/2017",5898.94147788164
"3/1/2017",18156.7942724668
"4/1/2017",36564.2548092273
"5/1/2017",20904.324066486
"6/1/2017",18743.4283585007
"7/1/2017",13299.4825394412
"8/1/2017",10155.6161920067
"9/1/2017",9835.68623885832
"10/1/2017",14180.4656689552
"11/1/2017",12390.3490017798
"12/1/2017",21155.1183050012
"1/1/2018",23784.2832310862
"2/1/2018",11102.6984441454
"3/1/2018",4824.81600910795
"4/1/2018",39229.8264370923
"5/1/2018",43881.0105787019
"6/1/2018",19822.4006430475
"7/1/2018",13826.5319708307
"8/1/2018",26568.575932209
"9/1/2018",7576.06857574475
"10/1/2018",22736.5651399771
"11/1/2018",16094.5134977696
"12/1/2018",9727.66960752741
"1/1/2019",30106.4158642485
"2/1/2019",11872.7177807782
"3/1/2019",19635.6526340334
"4/1/2019",21383.2400349943
"5/1/2019",18224.7258757647
"6/1/2019",19261.0545915788
"7/1/2019",11935.7633237632
"8/1/2019",24164.9691546274
"9/1/2019",11584.0983315763
"10/1/2019",12597.8549766468
"11/1/2019",21988.7084142181
"12/1/2019",11030.257340987
