"Date","Predicted Export"
"1/1/2015",25945.8032051173
"2/1/2015",27148.6655344524
"3/1/2015",63629.8489123913
"4/1/2015",104352.806320453
"5/1/2015",76651.3836437457
"6/1/2015",100600.049621101
"7/1/2015",71763.385666961
"8/1/2015",97732.7010296335
"9/1/2015",68229.781059004
"10/1/2015",43364.7705524572
"11/1/2015",7305.20592128973
"12/1/2015",31270.7009736777
"1/1/2016",16573.7307673646
"2/1/2016",5262.03645609794
"3/1/2016",32085.5248248748
"4/1/2016",41083.7667205661
"5/1/2016",103703.909099178
"6/1/2016",94199.5151815267
"7/1/2016",49414.3521971981
"8/1/2016",59407.9982479146
"9/1/2016",1692.4932407252
"10/1/2016",0
"11/1/2016",0
"12/1/2016",2657.51952391396
"1/1/2017",5347.44826685765
"2/1/2017",3250.73383664528
"3/1/2017",8933.71239998256
"4/1/2017",47330.6804070793
"5/1/2017",66469.1786189683
"6/1/2017",0
"7/1/2017",23720.8287814996
"8/1/2017",0
"9/1/2017",0
"10/1/2017",699.909135200563
"11/1/2017",0
"12/1/2017",0
"1/1/2018",0
"2/1/2018",18823.5979992023
"3/1/2018",5930.64380115485
"4/1/2018",13777.7425960374
"5/1/2018",18695.6607296019
"6/1/2018",5524.31615075884
"7/1/2018",27745.8888165912
"8/1/2018",23867.2407351219
"9/1/2018",26631.9069511263
"10/1/2018",17225.6416065688
"11/1/2018",0
"12/1/2018",23234.3991242846
"1/1/2019",30168.8737456395
"2/1/2019",10564.1952487713
"3/1/2019",34775.5714881249
"4/1/2019",62162.3348505948
"5/1/2019",87461.4223491406
"6/1/2019",15380.107521425
"7/1/2019",18320.3402919052
"8/1/2019",23900.1343715932
"9/1/2019",23608.3650693737
"10/1/2019",7386.81003269042
"11/1/2019",0
"12/1/2019",7995.36854545211
