"Year","Point.Forecast","Lo.70","Hi.70","Lo.75","Hi.75","Lo.80","Hi.80","Lo.85","Hi.85","Lo.90","Hi.90","Lo.95","Hi.95"
"May 2019",66.0264145424195,38.292611202625,113.711802721615,36.0631938754763,120.707220885583,33.6547566936716,129.297838952507,30.9657150329393,140.455171881421,27.7869142286137,156.40414510175,23.5262507769511,184.467384892187
"Jun 2019",0.000288745998978476,0,0.186751721738627,0,0.214105729689552,0,0.247697407756258,0,0.291325646482662,0,0.353690515894631,0,0.463425497615995
"Jul 2019",0,0,0.186255253047413,0,0.213578788202587,0,0.247133044610773,0,0.290712680791981,0,0.353008074757021,0,0.462620809980146
"Aug 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Sep 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Oct 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Nov 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Dec 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
