"Year","Point.Forecast","Lo.70","Hi.70","Lo.75","Hi.75","Lo.80","Hi.80","Lo.85","Hi.85","Lo.90","Hi.90","Lo.95","Hi.95"
"May 2019",1996.15851828497,877.303378728868,4539.9916401193,801.469448464784,4969.03397409775,722.203569630287,5513.64506156648,637.075971105605,6249.17424672734,541.228655305327,7353.63191059951,421.362744224587,9439.97062629987
"Jun 2019",199.620491608431,87.131339807701,455.376236995879,79.5070333255347,498.511944675596,71.5376804025373,553.266878647599,62.9789930315576,627.216625346937,53.3425504970687,738.258261941723,41.2912900696968,948.017742146882
"Jul 2019",0,0,1.51835995931696,0,1.77444621559427,0,2.09951300614549,0,2.53853475410196,0,3.19776207494722,0,4.44305334044026
"Aug 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Sep 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Oct 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Nov 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Dec 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
