"Year","Point.Forecast","Lo.70","Hi.70","Lo.75","Hi.75","Lo.80","Hi.80","Lo.85","Hi.85","Lo.90","Hi.90","Lo.95","Hi.95"
"May 2019",236.432558068327,127.310298606038,438.697315539048,118.92654608094,469.522751998966,109.949571882079,507.715844082737,100.03095191444,557.844314258182,88.4585589373904,630.455093328102,73.2345781835231,760.676554139313
"Jun 2019",0.0950209658371666,0,0.665029323114583,0,0.753157235338996,0,0.862718852101496,0,1.00709426442813,0,1.21727569052344,0,1.59696184674096
"Jul 2019",0.0950209658371666,0,0.665029323114583,0,0.753157235338996,0,0.862718852101496,0,1.00709426442813,0,1.21727569052344,0,1.59696184674096
"Aug 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Sep 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Oct 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Nov 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Dec 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
