"Year","Point.Forecast","Lo.70","Hi.70","Lo.75","Hi.75","Lo.80","Hi.80","Lo.85","Hi.85","Lo.90","Hi.90","Lo.95","Hi.95"
"May 2019",226.320489439088,123.781545074915,413.113904630265,115.820499447636,441.333092566156,107.278666919775,476.22523781503,97.818024043416,521.910221437762,86.7465120823904,587.882810588507,72.1185685610251,705.679504532271
"Jun 2019",0.136084059391323,0,1.07769920760537,0,1.21995055411851,0,1.39583990485606,0,1.62613534959134,0,1.95869947797705,0,2.55250601721431
"Jul 2019",0.136084059391323,0,1.07769920760537,0,1.21995055411851,0,1.39583990485606,0,1.62613534959134,0,1.95869947797705,0,2.55250601721431
"Aug 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Sep 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Oct 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Nov 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
"Dec 2019",0,0,0,0,0,0,0,0,0,0,0,0,0
